time,seconds_elapsed,steps
1759928128239509000,2414.479509033203,1999
1759928130800502000,2417.040501953125,2005
1759928133361491200,2419.6014912109376,2010
1759928135922475300,2422.162475341797,2015
1759928138483454500,2424.723454345703,2020
1759928141044429800,2427.2844299316407,2025
1759928143605400300,2429.845400390625,2030
1759928146166370300,2432.4063703613283,2034
1759928148727328300,2434.9673283691404,2038
1759928151288284400,2437.528284423828,2038
1759928153849241900,2440.0892419433594,2038
1759928156410207700,2442.650207763672,2048
1759928158971190500,2445.2111904296876,2053
1759928161532202200,2447.7722021484374,2058
1759928164093221600,2450.3332216796875,2063
1759928166654254800,2452.8942548828127,2068
1759928169215308300,2455.4553083496094,2072
1759928171776372500,2458.016372558594,2077
1759928174337445400,2460.5774453125,2082
1759928176898516200,2463.138516113281,2086
1759928179459596800,2465.6995966796876,2091
1759928182020679000,2468.260678955078,2096
1759928184581758000,2470.8217580566406,2101
1759928187142834700,2473.382834716797,2105
1759928189703908900,2475.943908935547,2110
1759928192264978000,2478.504978027344,2115
1759928194826036500,2481.066036376953,2120
1759928197387089200,2483.627089111328,2125
1759928199948134100,2486.188134033203,2130
1759928202509173500,2488.7491735839844,2134
1759928205070215000,2491.31021484375,2139
1759928207631246000,2493.87124609375,2144
1759928210192280800,2496.4322807617186,2148
1759928212753303600,2498.993303466797,2153
1759928215314333200,2501.5543332519533,2158
1759928217875350500,2504.1153505859374,2163
1759928220436368000,2506.676367919922,2168
1759928222997383000,2509.2373828125,2172
1759928225558383600,2511.7983835449218,2177
1759928228119379500,2514.359379394531,2182
1759928230680367900,2516.920367919922,2186
1759928233241349600,2519.481349609375,2191
1759928235802327300,2522.042327392578,2196
1759928238363299800,2524.6032998046876,2201
1759928240924264400,2527.164264404297,2206
1759928243485229600,2529.7252294921873,2211
1759928246046187800,2532.2861877441405,2215
1759928248607141400,2534.847141357422,2220
1759928251168094000,2537.4080939941405,2225
1759928253729045500,2539.9690454101565,2230
1759928256289991000,2542.529990966797,2235
1759928258850935000,2545.090935058594,2237
1759928261411886600,2547.6518864746095,2241
1759928263972833300,2550.2128332519533,2246
1759928266533778200,2552.7737780761718,2251
1759928269094723800,2555.334723876953,2256
1759928271655676000,2557.8956760253905,2261
1759928274216637400,2560.456637451172,2266
1759928276777599200,2563.0175991210936,2271
1759928279338559200,2565.5785593261717,2277
1759928281899525000,2568.139525146484,2281
1759928284460497700,2570.7004975585937,2287
1759928287021463800,2573.2614638671876,2292
1759928289582433800,2575.8224338378905,2297
1759928292143403000,2578.383403076172,2302
1759928294704367400,2580.944367431641,2307
1759928297265325600,2583.5053256835936,2313
1759928299826275800,2586.0662758789063,2318
1759928302387217400,2588.627217529297,2323
1759928304948151000,2591.1881511230467,2328
1759928307509076700,2593.7490766601563,2333
1759928310069994500,2596.3099943847656,2338
1759928312630907600,2598.8709077148437,2343
1759928315191808500,2601.43180859375,2349
1759928317752705000,2603.992705078125,2354
1759928320313597700,2606.55359765625,2359
1759928322874484000,2609.114483886719,2364
1759928325435365600,2611.6753657226564,2369
1759928327996243500,2614.2362434082033,2374
1759928330557120500,2616.7971206054685,2379
1759928333117991400,2619.3579914550783,2384
1759928335678855000,2621.918854980469,2390
1759928338239727000,2624.479727050781,2395
1759928340800591400,2627.040591308594,2400
1759928343361462000,2629.6014619140624,2405
1759928345922324200,2632.16232421875,2410
1759928348483185400,2634.7231853027342,2415
1759928351044049000,2637.284048828125,2420
1759928353604911900,2639.8449118652343,2425
1759928356165780000,2642.4057800292967,2431
1759928358726660600,2644.966660644531,2435
1759928361287545000,2647.5275451660154,2441
1759928363848443000,2650.088442871094,2446
1759928366409352000,2652.649352050781,2451
1759928368970257000,2655.2102568359373,2456
1759928371531167000,2657.7711669921873,2461
1759928374092076300,2660.332076171875,2466
1759928376652982300,2662.892982177734,2471
1759928379213883400,2665.4538833007814,2477
1759928381774780200,2668.0147802734373,2482
1759928384335671800,2670.575671875,2487
1759928386896561400,2673.1365615234376,2492
1759928389457450800,2675.6974506835936,2497
1759928392018328000,2678.258328125,2502
1759928394579205000,2680.819205078125,2507
1759928397140083200,2683.3800832519532,2513
1759928399700950800,2685.9409506835937,2518
1759928402261818000,2688.5018181152345,2523
1759928404822681300,2691.0626813964845,2528
1759928407383548200,2693.623548095703,2533
1759928409944403500,2696.184403564453,2538
1759928412505260000,2698.745260009766,2543
1759928415066114000,2701.306114013672,2548
1759928417626966000,2703.866966064453,2548
1759928420187820500,2706.4278205566407,2553
1759928422748667100,2708.988667236328,2558
1759928425309516800,2711.5495168457032,2563
1759928427870372400,2714.1103723144533,2568
1759928430431220200,2716.6712202148437,2573
1759928432992073000,2719.232072998047,2578
1759928435552921900,2721.792921875,2583
1759928438113775600,2724.3537756347655,2587
1759928440674620700,2726.914620605469,2592
1759928443235472100,2729.4754721679687,2597
1759928445796311800,2732.036311767578,2603
1759928448357156900,2734.597156982422,2608
1759928450917999400,2737.157999267578,2612
1759928453478837800,2739.718837646484,2618
1759928456039675600,2742.2796755371096,2623
1759928458600507100,2744.840507080078,2628
1759928461161342700,2747.4013427734376,2633
1759928463722177000,2749.962177001953,2638
1759928466283011300,2752.523011230469,2643
1759928468843843000,2755.083843017578,2648
1759928471404669000,2757.6446689453123,2654
1759928473965491000,2760.205490966797,2659
1759928476526313700,2762.7663137207032,2664
1759928479087143400,2765.327143310547,2668
1759928481647969300,2767.887969238281,2674
1759928484208796000,2770.4487958984373,2679
1759928486769617700,2773.009617675781,2685
1759928489330439700,2775.5704396972656,2690
1759928491891261400,2778.1312614746093,2695
1759928494452086800,2780.692086669922,2700
1759928497012917500,2783.2529174804686,2705
1759928499573754400,2785.8137543945313,2710
1759928502134603000,2788.3746030273437,2715
1759928504695461600,2790.935461669922,2721
1759928507256330800,2793.496330810547,2726
1759928509817206000,2796.0572060546874,2731
1759928512378082000,2798.61808203125,2736
1759928514938962700,2801.1789626464843,2741
1759928517499838500,2803.7398383789064,2745
1759928520060710100,2806.3007102050783,2750
1759928522621583000,2808.8615830078124,2755
1759928525182453200,2811.422453369141,2760
1759928527743320300,2813.9833203125,2765
1759928530304185000,2816.544185058594,2770
1759928532865047300,2819.1050473632813,2775
1759928535425911600,2821.6659116210935,2780
1759928537986771000,2824.226770996094,2785
1759928540547631900,2826.7876318359376,2790
1759928543108491000,2829.348490966797,2795
1759928545669349600,2831.909349609375,2800
1759928548230210000,2834.4702099609376,2805
1759928550791076000,2837.031076171875,2811
1759928553351940000,2839.5919401855467,2816
1759928555912802300,2842.152802246094,2821
1759928558473665800,2844.7136657714846,2826
1759928561034520300,2847.274520263672,2830
1759928563595376400,2849.8353764648436,2836
1759928566156234000,2852.3962338867186,2841
1759928568717099800,2854.9570998535155,2846
1759928571277980400,2857.51798046875,2851
1759928573838867700,2860.078867675781,2855
1759928576399761200,2862.6397612304686,2860
1759928578960657700,2865.2006577148436,2865
1759928581521560300,2867.7615603027343,2869
1759928584082455600,2870.3224555664065,2871
1759928586643358500,2872.8833583984374,2871
1759928589204272400,2875.4442724609376,2871
1759928591765186300,2878.005186279297,2871
1759928594326115600,2880.5661154785157,2871
1759928596887057700,2883.1270576171873,2883
1759928599448014800,2885.688014892578,2888
1759928602008970000,2888.248969970703,2893
1759928604569936600,2890.8099365234375,2898
1759928607130902300,2893.37090234375,2904
1759928609691863300,2895.93186328125,2909
1759928612252822500,2898.4928225097656,2914
1759928614813779000,2901.053779052734,2919
1759928617374728200,2903.614728271484,2924
1759928619935673300,2906.175673339844,2929
1759928622496612000,2908.736612060547,2933
1759928625057548500,2911.2975485839843,2938
1759928627618474000,2913.858473876953,2943
1759928630179414800,2916.419414794922,2947
1759928632740367000,2918.9803671875,2952
1759928635301334000,2921.541333984375,2952
1759928637862315300,2924.102315185547,2952
1759928640423314400,2926.663314453125,2957
1759928642984333600,2929.2243334960935,2962
1759928645545367300,2931.7853671875,2967
1759928648106412000,2934.346412109375,2972
1759928650667461400,2936.907461425781,2977
1759928653228511000,2939.468510986328,2982
1759928655789560000,2942.0295600585937,2987
1759928658350609000,2944.5906088867187,2992
1759928660911648800,2947.151648681641,2997
1759928663472681700,2949.712681640625,3002
1759928666033706000,2952.2737060546874,3007
1759928668594724600,2954.834724609375,3012
1759928671155736800,2957.395736816406,3017
1759928673716740400,2959.956740234375,3022
1759928676277742000,2962.5177421875,3028
1759928678838741200,2965.0787412109376,3033
1759928681399737900,2967.639737792969,3038
1759928683960724700,2970.2007248535156,3042
1759928686521713700,2972.761713623047,3047
1759928689082698000,2975.322697998047,3052
1759928691643679200,2977.883679199219,3057
1759928694204655600,2980.444655517578,3062
1759928696765629000,2983.00562890625,3066
1759928699326602500,2985.5666025390624,3071
1759928701887563300,2988.127563232422,3076
1759928704448524500,2990.6885246582033,3081
1759928707009486300,2993.249486328125,3086
1759928709570462200,2995.8104621582033,3090
1759928712131433500,2998.37143359375,3095
1759928714692421400,3000.932421386719,3099
1759928717253419000,3003.4934189453124,3104
1759928719814425300,3006.054425292969,3108
1759928722375434000,3008.6154340820312,3112
1759928724936444000,3011.176443847656,3115
1759928727497445600,3013.7374455566405,3115
1759928730058454300,3016.2984543457032,3115
1759928732619464700,3018.8594645996095,3115
1759928735180469000,3021.4204689941407,3115
1759928737741477400,3023.9814772949217,3115
